Comment,Designator,Footprint,LCSC
0.1 uF,"C1,C10,C15,C18,C2,C22,C23,C24,C25,C26,C27,C28,C3,C30,C34,C35,C36,C37,C38,C39,C4,C5,C6,C7,C8,C9",C_0603_1608Metric,C129176
1K,R5,R_0603_1608Metric,C14676
10 uF,"C29,C31",C_0603_1608Metric,C18800
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
ABM8-272-T3,X1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,C20625731
1 uF,"C11,C12",C_0603_1608Metric,C2214844
18 pF,"C13,C14",C_0603_1608Metric,C388905
27,"R2,R3",R_0603_1608Metric,C403127
SN74HC165DR,"U13,U4,U5,U6,U7",SOP-16_3.9x9.9mm_P1.27mm,C61060
74LVC1G17,"U11,U12",SOT-23-5,C7836
10K,"RN1,RN10,RN11,RN2,RN3,RN4,RN5,RN6,RN7,RN8",R_Array_Convex_4x1206,C784821
W25Q128JVSIQ,U2,SOIC127P790X216-8N,C97521
10k,"R10,R4,R6,R9",R_0603_1608Metric,C98220
Conn_01x02,J1,PinSocket_1x02_P2.00mm_Vertical,
~,S4,SW_Cherry_Kalih_1.00u,
~,S20,SW_Cherry_Kalih_1.00u,
10k,R13,R_0603_1608Metric,
~,U8,SC-74-6_1.55x2.9mm_P0.95mm,
0.01 uF,C21,C_0603_1608Metric,
1K,R8,R_0603_1608Metric,
10k,R12,R_0603_1608Metric,
LM3940IMP-3.3/NOPB,U3,SOT-223,
SM04B-SRSS-TB,J8,CONN_SM04B-SRSS-TB_JST,
10k,R14,R_0603_1608Metric,
10k,R7,R_0603_1608Metric,
~,U9,SC-74-6_1.55x2.9mm_P0.95mm,
0.01 uF,C20,C_0603_1608Metric,
NC,C19,C_0603_1608Metric,
0.47 uF,C16,C_1206_3216Metric,
10k,R1,R_0603_1608Metric,
33 uF,C17,C_1206_3216Metric,
Conn_01x02,J2,PinSocket_1x02_P2.00mm_Vertical,
~,S3,SW_Cherry_Kalih_1.00u,
PEC11R-4215F-S0024,MT1,XDCR_PEC11R-4215F-S0024,
SSD1306,Brd1,SSD1306-0.91-OLED-4pin-128x32,
~,S5,SW_Cherry_Kalih_1.00u,
Conn_01x04,J5,Magnetic_Pogo_Pin_4pos,
~,S21,SW_Cherry_Kalih_1.00u,
