Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Brd1,SSD1306,SSD1306-0.91-OLED-4pin-128x32,131.854572,-32.487093,0.0,top
C1,0.1 uF,C_0603_1608Metric,81.229572,-58.360593,90.0,bottom
C10,0.1 uF,C_0603_1608Metric,75.904572,-68.160593,180.0,bottom
C11,1 uF,C_0603_1608Metric,78.929572,-57.960593,180.0,bottom
C12,1 uF,C_0603_1608Metric,78.929572,-59.660593,180.0,bottom
C13,18 pF,C_0603_1608Metric,66.229572,-66.360593,90.0,bottom
C14,18 pF,C_0603_1608Metric,60.409372,-66.360593,90.0,bottom
C15,0.1 uF,C_0603_1608Metric,95.409372,-62.712493,270.0,bottom
C16,0.47 uF,C_1206_3216Metric,96.809372,-32.712493,270.0,bottom
C17,33 uF,C_1206_3216Metric,106.609372,-32.812493,270.0,bottom
C18,0.1 uF,C_0603_1608Metric,127.609372,-30.512493,90.0,bottom
C19,NC,C_0603_1608Metric,129.712072,-30.508893,90.0,bottom
C2,0.1 uF,C_0603_1608Metric,80.471872,-64.412493,180.0,bottom
C20,0.01 uF,C_0603_1608Metric,53.609372,-44.912493,270.0,bottom
C21,0.01 uF,C_0603_1608Metric,48.709372,-45.787493,0.0,bottom
C22,0.1 uF,C_0603_1608Metric,96.809372,-53.312493,90.0,bottom
C23,0.1 uF,C_0603_1608Metric,116.199972,-53.012493,90.0,bottom
C24,0.1 uF,C_0603_1608Metric,137.399972,-53.012493,90.0,bottom
C25,0.1 uF,C_0603_1608Metric,157.299972,-53.047693,90.0,bottom
C26,0.1 uF,C_0603_1608Metric,59.359372,-57.812493,180.0,bottom
C27,0.1 uF,C_0603_1608Metric,53.534372,-64.212493,180.0,bottom
C28,0.1 uF,C_0603_1608Metric,42.809372,-72.712493,180.0,bottom
C29,10 uF,C_0603_1608Metric,42.809372,-74.512493,180.0,bottom
C3,0.1 uF,C_0603_1608Metric,66.162572,-60.875193,90.0,bottom
C30,0.1 uF,C_0603_1608Metric,161.559372,-33.762493,270.0,bottom
C31,10 uF,C_0603_1608Metric,159.809372,-33.762493,270.0,bottom
C34,0.1 uF,C_0603_1608Metric,45.809372,-68.912493,0.0,bottom
C35,0.1 uF,C_0603_1608Metric,54.684372,-57.712493,180.0,bottom
C36,0.1 uF,C_0603_1608Metric,53.409372,-68.712493,180.0,bottom
C37,0.1 uF,C_0603_1608Metric,56.609372,-65.712493,0.0,bottom
C38,0.1 uF,C_0603_1608Metric,70.309372,-57.512493,0.0,bottom
C39,0.1 uF,C_0603_1608Metric,61.109372,-79.312493,180.0,bottom
C4,0.1 uF,C_0603_1608Metric,79.709372,-62.812493,180.0,bottom
C5,0.1 uF,C_0603_1608Metric,78.929572,-56.412493,180.0,bottom
C6,0.1 uF,C_0603_1608Metric,71.109372,-68.512493,270.0,bottom
C7,0.1 uF,C_0603_1608Metric,63.520972,-61.916593,0.0,bottom
C8,0.1 uF,C_0603_1608Metric,74.929572,-56.160593,90.0,bottom
C9,0.1 uF,C_0603_1608Metric,76.529572,-56.160593,90.0,bottom
H2,MountingHole_Pad,MountingHole_2.2mm_M2_Pad,154.809372,-36.612493,0.0,top
J1,Conn_01x02,PinSocket_1x02_P2.00mm_Vertical,143.809372,-35.912493,180.0,top
J2,Conn_01x02,PinSocket_1x02_P2.00mm_Vertical,146.909372,-35.912493,180.0,top
J5,Conn_01x04,Magnetic_Pogo_Pin_4pos,164.238572,-36.690093,-90.0,top
J8,SM04B-SRSS-TB,CONN_SM04B-SRSS-TB_JST,86.509372,-40.784592,0.0,bottom
MT1,PEC11R-4215F-S0024,XDCR_PEC11R-4215F-S0024,50.676072,-48.441593,180.0,top
R1,10k,R_0603_1608Metric,55.209372,-40.187493,90.0,bottom
R10,10k,R_0603_1608Metric,56.609372,-64.162493,0.0,bottom
R12,10k,R_0603_1608Metric,55.209372,-43.212493,90.0,bottom
R13,10k,R_0603_1608Metric,48.709372,-44.212493,0.0,bottom
R14,10k,R_0603_1608Metric,51.209372,-56.412493,270.0,bottom
R2,27,R_0603_1608Metric,82.858317,-62.290393,0.0,bottom
R3,27,R_0603_1608Metric,82.858317,-60.740993,0.0,bottom
R4,10k,R_0603_1608Metric,63.529572,-60.360593,0.0,bottom
R5,1K,R_0603_1608Metric,95.409372,-68.312493,270.0,bottom
R6,10k,R_0603_1608Metric,45.809372,-65.312493,0.0,bottom
R7,10k,R_0603_1608Metric,46.409372,-43.412493,90.0,bottom
R8,1K,R_0603_1608Metric,63.509372,-63.512493,180.0,bottom
R9,10k,R_0603_1608Metric,45.809372,-67.212493,0.0,bottom
RN1,10K,R_Array_Convex_4x1206,93.909372,-57.812493,0.0,bottom
RN10,10K,R_Array_Convex_4x1206,56.089372,-85.447493,0.0,bottom
RN11,10K,R_Array_Convex_4x1206,71.329372,-85.447493,180.0,bottom
RN2,10K,R_Array_Convex_4x1206,109.089372,-58.508693,180.0,bottom
RN3,10K,R_Array_Convex_4x1206,114.169372,-58.508693,0.0,bottom
RN4,10K,R_Array_Convex_4x1206,129.409372,-58.508693,180.0,bottom
RN5,10K,R_Array_Convex_4x1206,134.489372,-58.508693,0.0,bottom
RN6,10K,R_Array_Convex_4x1206,149.729372,-58.508693,180.0,bottom
RN7,10K,R_Array_Convex_4x1206,154.809372,-58.508693,0.0,bottom
RN8,10K,R_Array_Convex_4x1206,171.759372,-61.512493,180.0,bottom
S20,~,SW_Cherry_Kalih_1.00u,135.703572,-46.401593,0.0,top
S21,~,SW_Cherry_Kalih_1.00u,154.753572,-46.401593,0.0,top
S3,~,SW_Cherry_Kalih_1.00u,73.791072,-46.401593,0.0,top
S4,~,SW_Cherry_Kalih_1.00u,97.603572,-46.401593,0.0,top
S5,~,SW_Cherry_Kalih_1.00u,116.653572,-46.401593,0.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,72.109372,-62.712493,90.0,bottom
U11,74LVC1G17,SOT-23-5,49.709372,-67.812493,180.0,bottom
U12,74LVC1G17,SOT-23-5,57.509372,-60.712493,90.0,bottom
U13,SN74HC165DR,SOP-16_3.9x9.9mm_P1.27mm,63.709372,-85.447493,0.0,bottom
U2,W25Q128JVSIQ,SOIC127P790X216-8N,91.409372,-65.512493,90.0,bottom
U3,LM3940IMP-3.3/NOPB,SOT-223,101.709372,-34.112493,270.0,bottom
U4,SN74HC165DR,SOIC127P600X175-16N,101.469372,-58.508693,0.0,bottom
U5,SN74HC165DR,SOIC127P600X175-16N,121.789372,-58.508693,0.0,bottom
U6,SN74HC165DR,SOIC127P600X175-16N,142.109372,-58.508693,0.0,bottom
U7,SN74HC165DR,SOIC127P600X175-16N,162.738772,-58.508693,0.0,bottom
U8,~,SC-74-6_1.55x2.9mm_P0.95mm,53.909372,-60.762493,90.0,bottom
U9,~,SC-74-6_1.55x2.9mm_P0.95mm,49.709372,-64.312493,180.0,bottom
X1,ABM8-272-T3,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,63.329572,-66.360593,0.0,bottom
