Comment,Designator,Footprint,LCSC
1 uF,C15,C_0603_1608Metric,
100K,R6,R_0603_1608Metric,
USB4105-GF-A,J1,GCT_USB4105-GF-A,
UE27AC54100,J3,AMPHENOL_UE27AC54100,
SM04B-SRSS-TB,J5,CONN_SM04B-SRSS-TB_JST,
0.1 uF,C5,C_0603_1608Metric,
USB2514B-AEZC-TR,U1,QFN36_6X6MC_MCH,
5.1K,R16,R_0603_1608Metric,
0.1 uF,C9,C_0603_1608Metric,
100K,R8,R_0603_1608Metric,
UE27AC54100,J4,AMPHENOL_UE27AC54100,
0.1 uF,C1,C_0603_1608Metric,
0.1 uF,C10,C_0603_1608Metric,
22,R5,R_0603_1608Metric,
100K,R12,R_0603_1608Metric,
18 pF,C11,C_0603_1608Metric,
0.47 uF,C13,C_1206_3216Metric,
100K,R7,R_0603_1608Metric,
0.1 uF,C4,C_0603_1608Metric,
100K,R3,R_0603_1608Metric,
0.1 uF,C6,C_0603_1608Metric,
33 uF,C14,C_1206_3216Metric,
1M,R14,R_0603_1608Metric,
0.1 uF,C8,C_0603_1608Metric,
100K,R9,R_0603_1608Metric,
100K,R4,R_0603_1608Metric,
SRV05-4.TCT,U4,SO6_SOT23-6L,
5.1K,R15,R_0603_1608Metric,
0.1 uF,C2,C_0603_1608Metric,
100K,R10,R_0603_1608Metric,
12K,R13,R_0603_1608Metric,
100K,R1,R_0603_1608Metric,
0.1 uF,C7,C_0603_1608Metric,
18 pF,C12,C_0603_1608Metric,
0.1 uF,C3,C_0603_1608Metric,
ABM8-24.000MHZ-D1G-T,Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,
100K,R2,R_0603_1608Metric,
LM3940IMP-3.3/NOPB,U2,SOT-223,
100K,R11,R_0603_1608Metric,
1 uF,C16,C_0603_1608Metric,
~,J2,UBAS-4R-D14D-4D(LF)(SN),
22,R17,R_0603_1608Metric,
