Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1 uF,C_0603_1608Metric,160.55,-63.85,-90.0,top
C10,0.1 uF,C_0603_1608Metric,165.8989,-68.84,90.0,top
C11,18 pF,C_0603_1608Metric,161.05,-51.54,90.0,top
C12,18 pF,C_0603_1608Metric,164.3,-48.79,180.0,top
C13,0.47 uF,C_1206_3216Metric,183.4,-55.9,0.0,top
C14,33 uF,C_1206_3216Metric,183.3,-65.7,0.0,top
C15,1 uF,C_0603_1608Metric,161.0,-57.25,90.0,top
C16,1 uF,C_0603_1608Metric,167.6489,-72.09,-90.0,top
C2,0.1 uF,C_0603_1608Metric,164.1489,-68.84,-90.0,top
C3,0.1 uF,C_0603_1608Metric,167.6489,-68.84,-90.0,top
C4,0.1 uF,C_0603_1608Metric,161.6,-59.7,180.0,top
C5,0.1 uF,C_0603_1608Metric,173.5839,-64.38,0.0,top
C6,0.1 uF,C_0603_1608Metric,169.1,-56.975707,90.0,top
C7,0.1 uF,C_0603_1608Metric,176.3889,-62.75,-90.0,top
C8,0.1 uF,C_0603_1608Metric,173.5739,-59.09,0.0,top
C9,0.1 uF,C_0603_1608Metric,164.1,-57.25,90.0,top
H1,MountingHole_Pad,MountingHole_2.2mm_M2_Pad,186.0,-42.5,0.0,top
H3,MountingHole_Pad,MountingHole_2.2mm_M2_Pad,92.0,-42.5,0.0,top
H4,MountingHole_Pad,MountingHole_2.2mm_M2_Pad,186.0,-71.0,0.0,top
H6,MountingHole_Pad,MountingHole_2.2mm_M2_Pad,92.0,-71.0,0.0,top
J1,USB4105-GF-A,GCT_USB4105-GF-A,176.4775,-42.415,180.0,top
J2,~,UBAS-4R-D14D-4D(LF)(SN),152.1,-47.268,0.0,bottom
J3,UE27AC54100,AMPHENOL_UE27AC54100,130.0,-48.743,180.0,top
J4,UE27AC54100,AMPHENOL_UE27AC54100,105.1,-48.743,180.0,top
J5,5051100492,AYF530435,152.1,-65.75,0.0,top
R1,100K,R_0603_1608Metric,164.1489,-72.09,-90.0,top
R10,100K,R_0603_1608Metric,173.5889,-55.59,180.0,top
R11,100K,R_0603_1608Metric,173.5789,-57.34,0.0,top
R12,100K,R_0603_1608Metric,171.209607,-57.024293,90.0,top
R13,12K,R_0603_1608Metric,162.55,-57.25,90.0,top
R14,1M,R_0603_1608Metric,164.25,-54.55,0.0,top
R15,5.1K,R_0603_1608Metric,180.3,-48.2,180.0,top
R16,5.1K,R_0603_1608Metric,172.4,-48.2,0.0,top
R17,22,R_0603_1608Metric,171.1,-51.6,0.0,top
R2,100K,R_0603_1608Metric,169.4,-72.09,-90.0,top
R3,100K,R_0603_1608Metric,169.3989,-68.84,-90.0,top
R4,100K,R_0603_1608Metric,173.6,-67.8,180.0,top
R5,22,R_0603_1608Metric,171.1,-53.2,0.0,top
R6,100K,R_0603_1608Metric,173.5689,-60.84,0.0,top
R7,100K,R_0603_1608Metric,173.5839,-62.59,0.0,top
R8,100K,R_0603_1608Metric,173.588207,-66.09,0.0,top
R9,100K,R_0603_1608Metric,176.3889,-59.68,-90.0,top
U1,USB2514B-AEZC-TR,QFN36_6X6MC_MCH,166.8,-62.7,0.0,top
U2,LM3940IMP-3.3/NOPB,SOT-223,185.0,-60.8,0.0,top
U4,SRV05-4.TCT,SO6_SOT23-6L,176.4,-49.5,180.0,top
Y1,ABM8-24.000MHZ-D1G-T,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,164.3,-51.6,0.0,top
