Comment,Designator,Footprint,LCSC
~,S2,SW_Cherry_Kalih_1.00u,
~,S26,SW_Cherry_Kalih_1.00u,
~,S42,SW_Cherry_Kalih_2.00u,
~,S12,SW_Cherry_Kalih_1.00u,
Conn_01x04,J1,Magnetic_Pogo_Pin_4pos,
~,S28,SW_Cherry_Kalih_1.00u,
~,S11,SW_Cherry_Kalih_1.00u,
~,S41,SW_Cherry_Kalih_1.00u,
Conn_01x04,J2,Magnetic_Pogo_Pin_4pos,
~,S36,SW_Cherry_Kalih_1.00u,
~,S19,SW_Cherry_Kalih_1.00u,
~,S31,SW_Cherry_Kalih_1.00u,
~,S25,SW_Cherry_Kalih_1.00u,
~,S23,SW_Cherry_Kalih_1.00u,
~,S1,SW_Cherry_Kalih_1.00u,
~,S33,SW_Cherry_Kalih_1.00u,
~,S45,SW_Cherry_Kalih_1.00u,
~,S13,SW_Cherry_Kalih_1.00u,
~,S7,SW_Cherry_Kalih_1.00u,
~,S49,SW_Cherry_Kalih_1.00u,
~,S29,SW_Cherry_Kalih_1.00u,
~,S40,SW_Cherry_Kalih_1.00u,
~,S17,SW_Cherry_Kalih_1.00u,
~,S24,SW_Cherry_Kalih_1.00u,
~,S6,SW_Cherry_Kalih_1.00u,
~,S37,SW_Cherry_Kalih_2.25u,
~,S15,SW_Cherry_Kalih_1.00u,
~,S34,SW_Cherry_Kalih_1.00u,
~,S9,SW_Cherry_Kalih_1.00u,
~,S21,SW_Cherry_Kalih_1.00u,
~,S43,SW_Cherry_Kalih_1.00u,
~,S4,SW_Cherry_Kalih_1.00u,
~,S10,SW_Cherry_Kalih_1.00u,
~,S16,SW_Cherry_Kalih_1.00u,
~,S38,SW_Cherry_Kalih_1.75u,
~,S3,SW_Cherry_Kalih_1.00u,
~,S20,SW_Cherry_Kalih_1.00u,
~,S27,SW_Cherry_Kalih_1.00u,
LED (capslock R),D1,LED_0805_2012Metric,
~,S22,SW_Cherry_Kalih_1.00u,
~,S18,SW_Cherry_Kalih_1.00u,
LED (numlock G),D3,LED_0805_2012Metric,
~,S32,SW_Cherry_Kalih_1.00u,
~,S30,SW_Cherry_Kalih_1.00u,
~,S44,SW_Cherry_Kalih_1.00u,
~,S46,SW_Cherry_Kalih_1.00u,
~,S35,SW_Cherry_Kalih_1.75u,
~,S5,SW_Cherry_Kalih_1.00u,
~,S8,SW_Cherry_Kalih_1.00u,
LED (scrlock Y),D4,LED_0805_2012Metric,
~,S39,SW_Cherry_Kalih_1.00u,
~,S47,SW_Cherry_Kalih_1.00u,
~,S14,SW_Cherry_Kalih_1.00u,
~,S48,SW_Cherry_Kalih_1.00u,
Conn_01x04,J4,Magnetic_Pogo_Pin_4pos,
10K,RN5,R_Array_Convex_4x1206,
10K,RN4,R_Array_Convex_4x1206,
LM3940IMP-3.3/NOPB,U8,SOT-223,
R,R1,R_0603_1608Metric,
10k,R6,R_0603_1608Metric,
SN74HC165DR,U2,SOIC127P600X175-16N,
10K,RN14,R_Array_Convex_4x1206,
R,R4,R_0603_1608Metric,
0.1 uF,C16,C_0603_1608Metric,
10K,RN3,R_Array_Convex_4x1206,
0.1 uF,C5,C_0603_1608Metric,
10K,RN6,R_Array_Convex_4x1206,
0.1 uF,C9,C_0603_1608Metric,
~,U7,SC-74-6_1.55x2.9mm_P0.95mm,
10K,RN1,R_Array_Convex_4x1206,
SN74HC165DR,U3,SOIC127P600X175-16N,
10K,RN7,R_Array_Convex_4x1206,
33 uF,C13,C_1206_3216Metric,
10K,RN2,R_Array_Convex_4x1206,
R,R3,R_0603_1608Metric,
0.1 uF,C3,C_0603_1608Metric,
SN74HC165DR,U4,SOIC127P600X175-16N,
10K,RN11,R_Array_Convex_4x1206,
0.1 uF,C2,C_0603_1608Metric,
0.47 uF,C12,C_1206_3216Metric,
SN74HC165DR,U6,SOIC127P600X175-16N,
SN74HC165DR,U5,SOIC127P600X175-16N,
10K,RN12,R_Array_Convex_4x1206,
10 uF,C11,C_0603_1608Metric,
0.1 uF,C1,C_0603_1608Metric,
0.1 uF,C7,C_0603_1608Metric,
SN74HC165DR,U9,SOIC127P600X175-16N,
0.1 uF,C6,C_0603_1608Metric,
10K,RN8,R_Array_Convex_4x1206,
10K,RN13,R_Array_Convex_4x1206,
10 uF,C8,C_0603_1608Metric,
R,R5,R_0603_1608Metric,
10K,RN9,R_Array_Convex_4x1206,
Conn_01x04,J3,Magnetic_Pogo_Pin_4pos,
0.1 uF,C15,C_0603_1608Metric,
0.1 uF,C14,C_0603_1608Metric,
Conn_01x04,J5,Magnetic_Pogo_Pin_4pos,
0.1 uF,C10,C_0603_1608Metric,
10k,R7,R_0603_1608Metric,
10K,RN10,R_Array_Convex_4x1206,
0.1 uF,C4,C_0603_1608Metric,
SN74HC165DR,U1,SOIC127P600X175-16N,
74LVC1G17,U10,SOT-23-5,
